==================================================================
BACKTEST: dial + SVI engine vs benchmarks
==================================================================
  Start: 2004-06-30   Tolerance: 4/5
  Costs: 0.05% round-trip per trade

  Rebalance dates: 266 (2004-06-30 -> 2026-07-31)
  SVI: 1500 steps, 2000 draws per rebalance
  [###########---------------------------------------]  23.7%  2009-08-31  port=$   14,679  dial=0.47  ETA=118.9m
  [############--------------------------------------]  24.1%  2009-09-30  port=$   14,353  dial=0.41  ETA=118.4m
  [############--------------------------------------]  24.4%  2009-10-30  port=$   15,178  dial=0.56  ETA=117.8m
  [############--------------------------------------]  24.8%  2009-11-30  port=$   15,134  dial=0.56  ETA=115.4m
  [############--------------------------------------]  25.2%  2009-12-31  port=$   14,774  dial=0.45  ETA=113.1m
  [############--------------------------------------]  25.6%  2010-01-29  port=$   15,068  dial=0.53  ETA=110.9m
  [############--------------------------------------]  25.9%  2010-02-26  port=$   15,698  dial=0.43  ETA=110.4m
  [#############-------------------------------------]  26.3%  2010-03-31  port=$   15,793  dial=0.43  ETA=110.0m
  [#############-------------------------------------]  26.7%  2010-04-30  port=$   15,025  dial=0.45  ETA=109.6m
  [#############-------------------------------------]  27.1%  2010-05-28  port=$   15,079  dial=0.78  ETA=109.1m
  [#############-------------------------------------]  27.4%  2010-06-30  port=$   15,387  dial=0.79  ETA=108.7m
  [#############-------------------------------------]  27.8%  2010-07-30  port=$   15,421  dial=0.71  ETA=108.3m
  [##############------------------------------------]  28.2%  2010-08-31  port=$   16,110  dial=0.72  ETA=107.9m
  [##############------------------------------------]  28.6%  2010-09-30  port=$   16,419  dial=0.53  ETA=107.4m
  [##############------------------------------------]  28.9%  2010-10-29  port=$   16,219  dial=0.53  ETA=106.9m
  [##############------------------------------------]  29.3%  2010-11-30  port=$   16,860  dial=0.51  ETA=106.5m
  [##############------------------------------------]  29.7%  2010-12-31  port=$   16,932  dial=0.25  ETA=106.1m
  [###############-----------------------------------]  30.1%  2011-01-31  port=$   17,343  dial=0.33  ETA=105.6m
  [###############-----------------------------------]  30.5%  2011-02-28  port=$   17,431  dial=0.29  ETA=105.1m
  [###############-----------------------------------]  30.8%  2011-03-31  port=$   18,030  dial=0.38  ETA=104.6m
  [###############-----------------------------------]  31.2%  2011-04-29  port=$   17,991  dial=0.38  ETA=104.1m
  [###############-----------------------------------]  31.6%  2011-05-31  port=$   17,718  dial=0.50  ETA=103.5m
  [###############-----------------------------------]  32.0%  2011-06-30  port=$   17,685  dial=0.49  ETA=103.0m
  [################----------------------------------]  32.3%  2011-07-29  port=$   17,582  dial=0.66  ETA=102.6m
  [################----------------------------------]  32.7%  2011-08-31  port=$   17,405  dial=0.87  ETA=102.1m
  [################----------------------------------]  33.1%  2011-09-30  port=$   17,970  dial=0.85  ETA=101.7m
  [################----------------------------------]  33.5%  2011-10-31  port=$   17,890  dial=0.69  ETA=101.2m
  [################----------------------------------]  33.8%  2011-11-30  port=$   17,968  dial=0.71  ETA=100.7m
  [#################---------------------------------]  34.2%  2011-12-30  port=$   18,747  dial=0.62  ETA=100.2m
  [#################---------------------------------]  34.6%  2012-01-31  port=$   19,013  dial=0.68  ETA=99.6m
  [#################---------------------------------]  35.0%  2012-02-29  port=$   19,343  dial=0.47  ETA=99.1m
  [#################---------------------------------]  35.3%  2012-03-30  port=$   19,277  dial=0.24  ETA=98.6m
  [#################---------------------------------]  35.7%  2012-04-30  port=$   18,502  dial=0.46  ETA=98.1m
  [##################--------------------------------]  36.1%  2012-05-31  port=$   18,968  dial=0.65  ETA=97.6m
  [##################--------------------------------]  36.5%  2012-06-29  port=$   19,192  dial=0.58  ETA=97.1m
  [##################--------------------------------]  36.8%  2012-07-31  port=$   19,483  dial=0.65  ETA=96.5m
  [##################--------------------------------]  37.2%  2012-08-31  port=$   19,483  dial=0.49  ETA=96.0m
  [##################--------------------------------]  37.6%  2012-09-28  port=$   19,329  dial=0.36  ETA=95.5m
  [##################--------------------------------]  38.0%  2012-10-31  port=$   19,461  dial=0.37  ETA=95.0m
  [###################-------------------------------]  38.3%  2012-11-30  port=$   19,660  dial=0.41  ETA=94.4m
  [###################-------------------------------]  38.7%  2012-12-31  port=$   20,164  dial=0.51  ETA=93.9m
  [###################-------------------------------]  39.1%  2013-01-31  port=$   20,164  dial=0.40  ETA=93.4m
  [###################-------------------------------]  39.5%  2013-02-28  port=$   20,627  dial=0.47  ETA=92.9m
  [###################-------------------------------]  39.8%  2013-03-28  port=$   21,083  dial=0.36  ETA=92.4m
  [####################------------------------------]  40.2%  2013-04-30  port=$   21,022  dial=0.43  ETA=91.9m
  [####################------------------------------]  40.6%  2013-05-31  port=$   20,525  dial=0.41  ETA=91.3m
  [####################------------------------------]  41.0%  2013-06-28  port=$   21,284  dial=0.55  ETA=90.8m
  [####################------------------------------]  41.4%  2013-07-31  port=$   20,842  dial=0.32  ETA=90.3m
  [####################------------------------------]  41.7%  2013-08-30  port=$   21,492  dial=0.51  ETA=89.8m
  [#####################-----------------------------]  42.1%  2013-09-30  port=$   22,177  dial=0.33  ETA=89.2m
  [#####################-----------------------------]  42.5%  2013-10-31  port=$   22,541  dial=0.36  ETA=88.7m
  [#####################-----------------------------]  42.9%  2013-11-29  port=$   22,732  dial=0.35  ETA=88.2m
  [#####################-----------------------------]  43.2%  2013-12-31  port=$   22,482  dial=0.30  ETA=87.7m
  [#####################-----------------------------]  43.6%  2014-01-31  port=$   23,331  dial=0.40  ETA=87.1m
  [#####################-----------------------------]  44.0%  2014-02-28  port=$   23,349  dial=0.32  ETA=86.5m
  [######################----------------------------]  44.4%  2014-03-31  port=$   23,349  dial=0.42  ETA=86.0m
  [######################----------------------------]  44.7%  2014-04-30  port=$   23,849  dial=0.37  ETA=85.5m
  [######################----------------------------]  45.1%  2014-05-30  port=$   23,849  dial=0.31  ETA=85.0m
  [######################----------------------------]  45.5%  2014-06-30  port=$   23,700  dial=0.34  ETA=84.4m
  [######################----------------------------]  45.9%  2014-07-31  port=$   24,498  dial=0.39  ETA=83.9m
  [#######################---------------------------]  46.2%  2014-08-29  port=$   24,498  dial=0.26  ETA=83.3m
  [#######################---------------------------]  46.6%  2014-09-30  port=$   25,012  dial=0.43  ETA=82.8m
  [#######################---------------------------]  47.0%  2014-10-31  port=$   25,528  dial=0.44  ETA=82.2m
  [#######################---------------------------]  47.4%  2014-11-28  port=$   25,433  dial=0.42  ETA=81.7m
  [#######################---------------------------]  47.7%  2014-12-31  port=$   25,664  dial=0.57  ETA=81.1m
  [########################--------------------------]  48.1%  2015-01-30  port=$   25,664  dial=0.59  ETA=80.6m
  [########################--------------------------]  48.5%  2015-02-27  port=$   25,494  dial=0.44  ETA=80.0m
  [########################--------------------------]  48.9%  2015-03-31  port=$   25,494  dial=0.60  ETA=79.5m
  [########################--------------------------]  49.2%  2015-04-30  port=$   25,708  dial=0.37  ETA=78.9m
  [########################--------------------------]  49.6%  2015-05-29  port=$   25,708  dial=0.52  ETA=78.4m
  [#########################-------------------------]  50.0%  2015-06-30  port=$   26,073  dial=0.53  ETA=77.8m
  [#########################-------------------------]  50.4%  2015-07-31  port=$   24,756  dial=0.38  ETA=77.3m
  [#########################-------------------------]  50.8%  2015-08-31  port=$   24,523  dial=0.78  ETA=76.7m
  [#########################-------------------------]  51.1%  2015-09-30  port=$   25,449  dial=0.69  ETA=76.2m
  [#########################-------------------------]  51.5%  2015-10-30  port=$   25,268  dial=0.70  ETA=75.6m
  [#########################-------------------------]  51.9%  2015-11-30  port=$   24,998  dial=0.66  ETA=75.1m
  [##########################------------------------]  52.3%  2015-12-31  port=$   24,998  dial=0.65  ETA=74.5m
  [##########################------------------------]  52.6%  2016-01-29  port=$   25,294  dial=0.76  ETA=74.0m
  [##########################------------------------]  53.0%  2016-02-29  port=$   26,193  dial=0.69  ETA=73.4m
  [##########################------------------------]  53.4%  2016-03-31  port=$   26,511  dial=0.55  ETA=72.8m
  [##########################------------------------]  53.8%  2016-04-29  port=$   26,703  dial=0.44  ETA=72.3m
  [###########################-----------------------]  54.1%  2016-05-31  port=$   26,845  dial=0.26  ETA=71.7m
  [###########################-----------------------]  54.5%  2016-06-30  port=$   27,772  dial=0.52  ETA=71.1m
  [###########################-----------------------]  54.9%  2016-07-29  port=$   27,884  dial=0.39  ETA=70.6m
  [###########################-----------------------]  55.3%  2016-08-31  port=$   27,862  dial=0.46  ETA=70.0m
  [###########################-----------------------]  55.6%  2016-09-30  port=$   27,427  dial=0.30  ETA=69.4m
  [############################----------------------]  56.0%  2016-10-31  port=$   27,844  dial=0.39  ETA=68.9m
  [############################----------------------]  56.4%  2016-11-30  port=$   27,844  dial=0.23  ETA=68.3m
  [############################----------------------]  56.8%  2016-12-30  port=$   28,531  dial=0.19  ETA=67.7m
  [############################----------------------]  57.1%  2017-01-31  port=$   29,506  dial=0.14  ETA=67.1m
  [############################----------------------]  57.5%  2017-02-28  port=$   29,546  dial=0.26  ETA=66.6m
  [############################----------------------]  57.9%  2017-03-31  port=$   29,894  dial=0.28  ETA=66.0m
  [#############################---------------------]  58.3%  2017-04-28  port=$   30,280  dial=0.27  ETA=65.4m
  [#############################---------------------]  58.6%  2017-05-31  port=$   30,767  dial=0.32  ETA=64.9m
  [#############################---------------------]  59.0%  2017-06-30  port=$   31,411  dial=0.32  ETA=64.3m
  [#############################---------------------]  59.4%  2017-07-31  port=$   31,707  dial=0.22  ETA=63.8m
  [#############################---------------------]  59.8%  2017-08-31  port=$   32,068  dial=0.32  ETA=63.2m
  [##############################--------------------]  60.2%  2017-09-29  port=$   32,068  dial=0.23  ETA=62.6m
  [##############################--------------------]  60.5%  2017-10-31  port=$   32,604  dial=0.26  ETA=62.0m
  [##############################--------------------]  60.9%  2017-11-30  port=$   33,022  dial=0.25  ETA=61.4m
  [##############################--------------------]  61.3%  2017-12-29  port=$   34,607  dial=0.22  ETA=60.9m
  [##############################--------------------]  61.7%  2018-01-31  port=$   33,555  dial=0.18  ETA=60.3m
  [###############################-------------------]  62.0%  2018-02-28  port=$   33,048  dial=0.49  ETA=59.7m
  [###############################-------------------]  62.4%  2018-03-29  port=$   32,882  dial=0.63  ETA=59.2m
  [###############################-------------------]  62.8%  2018-04-30  port=$   33,084  dial=0.58  ETA=58.6m
  [###############################-------------------]  63.2%  2018-05-31  port=$   32,879  dial=0.54  ETA=58.0m
  [###############################-------------------]  63.5%  2018-06-29  port=$   33,771  dial=0.42  ETA=57.4m
  [###############################-------------------]  63.9%  2018-07-31  port=$   34,250  dial=0.28  ETA=56.8m
  [################################------------------]  64.3%  2018-08-31  port=$   34,074  dial=0.31  ETA=56.3m
  [################################------------------]  64.7%  2018-09-28  port=$   32,261  dial=0.21  ETA=55.7m
  [################################------------------]  65.0%  2018-10-31  port=$   32,882  dial=0.63  ETA=55.1m
  [################################------------------]  65.4%  2018-11-30  port=$   31,615  dial=0.57  ETA=54.5m
  [################################------------------]  65.8%  2018-12-31  port=$   31,615  dial=0.78  ETA=53.9m
  [#################################-----------------]  66.2%  2019-01-31  port=$   31,822  dial=0.67  ETA=53.4m
  [#################################-----------------]  66.5%  2019-02-28  port=$   32,210  dial=0.59  ETA=52.8m
  [#################################-----------------]  66.9%  2019-03-29  port=$   33,040  dial=0.43  ETA=52.2m
  [#################################-----------------]  67.3%  2019-04-30  port=$   31,839  dial=0.23  ETA=51.6m
  [#################################-----------------]  67.7%  2019-05-31  port=$   33,422  dial=0.56  ETA=51.0m
  [##################################----------------]  68.0%  2019-06-28  port=$   33,490  dial=0.45  ETA=50.5m
  [##################################----------------]  68.4%  2019-07-31  port=$   33,726  dial=0.54  ETA=49.9m
  [##################################----------------]  68.8%  2019-08-30  port=$   34,014  dial=0.54  ETA=49.3m
  [##################################----------------]  69.2%  2019-09-30  port=$   34,803  dial=0.49  ETA=48.7m
  [##################################----------------]  69.5%  2019-10-31  port=$   35,489  dial=0.50  ETA=48.1m
  [##################################----------------]  69.9%  2019-11-29  port=$   36,394  dial=0.30  ETA=47.5m
  [###################################---------------]  70.3%  2019-12-31  port=$   36,285  dial=0.26  ETA=46.9m
